player_name,transfermarkt_player_id,transfermarkt_slug,date,market_value_raw,market_value_eur,source_url
Aurelien Tchouameni,543743,aurelien-tchouameni,1,€200.00m,200000000,https://www.transfermarkt.com/aurelien-tchouameni/marktwertverlauf/spieler/543743
Aurelien Tchouameni,543743,aurelien-tchouameni,2,€200.00m,200000000,https://www.transfermarkt.com/aurelien-tchouameni/marktwertverlauf/spieler/543743
Aurelien Tchouameni,543743,aurelien-tchouameni,3,€200.00m,200000000,https://www.transfermarkt.com/aurelien-tchouameni/marktwertverlauf/spieler/543743
Aurelien Tchouameni,543743,aurelien-tchouameni,4,€160.00m,160000000,https://www.transfermarkt.com/aurelien-tchouameni/marktwertverlauf/spieler/543743
Aurelien Tchouameni,543743,aurelien-tchouameni,5,€150.00m,150000000,https://www.transfermarkt.com/aurelien-tchouameni/marktwertverlauf/spieler/543743
Aurelien Tchouameni,543743,aurelien-tchouameni,6,€140.00m,140000000,https://www.transfermarkt.com/aurelien-tchouameni/marktwertverlauf/spieler/543743
Aurelien Tchouameni,543743,aurelien-tchouameni,7,€130.00m,130000000,https://www.transfermarkt.com/aurelien-tchouameni/marktwertverlauf/spieler/543743
Aurelien Tchouameni,543743,aurelien-tchouameni,8,€130.00m,130000000,https://www.transfermarkt.com/aurelien-tchouameni/marktwertverlauf/spieler/543743
Aurelien Tchouameni,543743,aurelien-tchouameni,9,€130.00m,130000000,https://www.transfermarkt.com/aurelien-tchouameni/marktwertverlauf/spieler/543743
Aurelien Tchouameni,543743,aurelien-tchouameni,10,€120.00m,120000000,https://www.transfermarkt.com/aurelien-tchouameni/marktwertverlauf/spieler/543743
Aurelien Tchouameni,543743,aurelien-tchouameni,11,€120.00m,120000000,https://www.transfermarkt.com/aurelien-tchouameni/marktwertverlauf/spieler/543743
Aurelien Tchouameni,543743,aurelien-tchouameni,12,€120.00m,120000000,https://www.transfermarkt.com/aurelien-tchouameni/marktwertverlauf/spieler/543743
Aurelien Tchouameni,543743,aurelien-tchouameni,13,€120.00m,120000000,https://www.transfermarkt.com/aurelien-tchouameni/marktwertverlauf/spieler/543743
Aurelien Tchouameni,543743,aurelien-tchouameni,14,€110.00m,110000000,https://www.transfermarkt.com/aurelien-tchouameni/marktwertverlauf/spieler/543743
Aurelien Tchouameni,543743,aurelien-tchouameni,15,€110.00m,110000000,https://www.transfermarkt.com/aurelien-tchouameni/marktwertverlauf/spieler/543743
Aurelien Tchouameni,543743,aurelien-tchouameni,16,€110.00m,110000000,https://www.transfermarkt.com/aurelien-tchouameni/marktwertverlauf/spieler/543743
Aurelien Tchouameni,543743,aurelien-tchouameni,17,€110.00m,110000000,https://www.transfermarkt.com/aurelien-tchouameni/marktwertverlauf/spieler/543743
Aurelien Tchouameni,543743,aurelien-tchouameni,18,€100.00m,100000000,https://www.transfermarkt.com/aurelien-tchouameni/marktwertverlauf/spieler/543743
Aurelien Tchouameni,543743,aurelien-tchouameni,19,€100.00m,100000000,https://www.transfermarkt.com/aurelien-tchouameni/marktwertverlauf/spieler/543743
Aurelien Tchouameni,543743,aurelien-tchouameni,20,€90.00m,90000000,https://www.transfermarkt.com/aurelien-tchouameni/marktwertverlauf/spieler/543743
Aurelien Tchouameni,543743,aurelien-tchouameni,21,€90.00m,90000000,https://www.transfermarkt.com/aurelien-tchouameni/marktwertverlauf/spieler/543743
Aurelien Tchouameni,543743,aurelien-tchouameni,22,€90.00m,90000000,https://www.transfermarkt.com/aurelien-tchouameni/marktwertverlauf/spieler/543743
Aurelien Tchouameni,543743,aurelien-tchouameni,23,€90.00m,90000000,https://www.transfermarkt.com/aurelien-tchouameni/marktwertverlauf/spieler/543743
Aurelien Tchouameni,543743,aurelien-tchouameni,24,€90.00m,90000000,https://www.transfermarkt.com/aurelien-tchouameni/marktwertverlauf/spieler/543743
Aurelien Tchouameni,543743,aurelien-tchouameni,25,€85.00m,85000000,https://www.transfermarkt.com/aurelien-tchouameni/marktwertverlauf/spieler/543743
