units,learning_rate,dropout,layers,RMSE,MAE
128,0.01,0.0,1,1032585.6580425,665683.269890563
32,0.01,0.0,1,1070530.9315277736,784130.2524077267
64,0.01,0.0,2,1093438.9117991624,429212.90633957856
128,0.005,0.0,1,1109659.1280085398,736346.6894852227
32,0.01,0.0,2,1157432.8151228172,622862.7379354875
32,0.005,0.0,1,1203522.7567589735,855085.2674099543
64,0.005,0.0,1,1211941.3580694762,866684.8609190701
128,0.005,0.0,2,1218137.6836745257,562205.8130307521
128,0.001,0.0,2,1267680.1031601273,666143.9795151772
64,0.005,0.0,2,1293715.370659403,799388.0492811978
32,0.005,0.0,2,1297734.3088273148,800187.0819375978
128,0.01,0.0,2,1314380.8516702964,695974.6247018831
128,0.005,0.2,1,1365654.7329995353,807620.9694347217
32,0.001,0.0,1,1434821.176876139,1067407.7984231238
128,0.001,0.0,1,1455882.6809231467,1052632.7156871438
64,0.01,0.0,1,1469516.3660954698,1115735.0254185137
64,0.001,0.0,1,1540463.390352263,1142103.1447653784
32,0.001,0.0,2,1559974.7760677068,975591.0574048156
128,0.001,0.2,1,1676407.46630395,1099762.4341006
64,0.001,0.0,2,1809126.6436266922,1034786.0101965723
128,0.01,0.2,1,2041824.8153874187,1409707.1612737677
64,0.005,0.2,1,2169450.7722211014,1512955.9340056002
64,0.001,0.2,1,2352646.463888051,1444153.8541312162
128,0.005,0.2,2,2511978.03377454,1744501.1543310445
64,0.005,0.2,2,2589766.5839145645,1792676.3705450813
128,0.001,0.2,2,2844706.9636297873,1877571.5436709016
32,0.005,0.2,2,2940222.8590012887,2074655.5472469125
128,0.01,0.2,2,2993876.992935832,2184215.595567501
64,0.01,0.2,2,3226215.6531954515,1989014.7559224635
32,0.01,0.2,1,3312402.567616758,2379566.284699662
64,0.01,0.2,1,3328512.3229966536,2448863.185090762
32,0.001,0.2,1,3494780.7487444347,2461256.4371041404
32,0.005,0.2,1,3520325.2265261183,2686219.2822164497
64,0.001,0.2,2,3527368.1063943547,2252895.611879427
32,0.01,0.2,2,3540181.34940983,2834618.88461957
32,0.001,0.2,2,3665146.2196581936,2419973.667035951
